City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Kieta,84.22,-6.22,155.63,68,89,3.98
Auki,85.64,-8.77,160.7,63,100,3.02
Kutum,76.15,14.2,24.67,57,12,5.91
Samarai,79.38,-10.62,150.67,86,81,9.98
Verkhoyansk,73.9,67.54,133.38,41,77,10.87
Mehamn,46.4,71.04,27.85,75,75,8.05
Narsaq,50.0,60.92,-46.05,81,100,6.93
Sambava,66.15,-14.27,50.17,83,78,6.85
Saint-Pierre,60.42,-21.34,55.48,68,1,4.7
Saint George,103.39,37.1,-113.58,10,1,19.46
Taos,72.95,36.41,-105.57,29,1,16.11
Bismarck,71.53,46.81,-100.78,41,1,16.11
Weligama,82.51,5.97,80.42,81,100,9.46
Nemuro,66.2,43.32,145.57,82,75,4.7
Carutapera,74.52,-1.2,-46.02,94,12,5.46
Port Blair,83.39,11.67,92.75,75,79,14.67
Powell River,70.03,49.85,-124.54,49,20,6.93
Xichang,74.19,27.9,102.26,69,100,4.0
Hambantota,78.8,6.12,81.12,100,40,5.82
Oranzherei,75.04,45.85,47.57,83,90,4.47
Warangal,78.31,18.0,79.58,86,100,3.87
Malé,82.4,4.17,73.51,100,75,4.7
Ginda,73.09,30.69,78.49,72,15,2.26
Ayna,58.12,-12.65,-73.92,59,6,2.68
Dalby,57.0,-27.18,151.27,50,9,8.01
Acaraú,75.36,-2.89,-40.12,77,30,10.49
Jumla,69.42,29.27,82.18,57,80,1.74
Tezu,89.04,27.92,96.17,54,81,3.33
Saldanha,50.0,-33.01,17.94,81,87,11.41
Loreto,69.93,22.27,-101.97,36,0,17.52
Concordia,39.0,-31.39,-58.02,86,0,4.81
Aswān,78.6,24.09,32.91,23,3,7.72
Kédougou,72.55,12.56,-12.17,92,100,3.04
Vacaria,45.0,-28.51,-50.93,81,17,4.07
Marabu,84.11,4.41,114.01,79,40,2.24
Zavyalovo,66.2,54.51,82.45,82,38,2.24
Asău,48.99,46.43,26.4,89,18,3.6
Misratah,74.79,32.38,15.09,81,0,5.08
Gumdag,87.71,39.21,54.59,36,5,3.38
Kumul,81.99,42.8,93.45,25,46,1.1
Necochea,39.0,-38.55,-58.74,77,57,8.01
Saskylakh,72.64,71.92,114.08,41,22,12.46
Anshun,74.01,26.25,105.93,81,78,15.52
Orange,72.25,33.7,-117.77,69,40,11.41
Oranjemund,53.01,-28.55,16.43,76,8,7.72
Pokhara,79.47,28.23,83.98,74,22,3.22
Villaviciosa,60.48,43.48,-5.44,82,100,3.62
Havre-St-Pierre,55.4,50.23,-63.6,71,90,12.75
Sevnica,49.23,46.01,15.32,93,99,2.55
Banda Aceh,83.7,5.56,95.32,71,86,2.13
Fortuna,59.61,40.6,-124.16,72,1,11.41
Santa Cruz de la Sierra,73.4,-17.8,-63.17,94,75,4.7
Alice Springs,53.51,-23.7,133.88,47,0,12.75
Poum,73.8,-20.23,164.02,78,62,17.31
Xai-Xai,59.4,-25.05,33.64,51,0,12.44
Ileza,58.84,61.05,43.9,99,100,3.24
Troitskoye,69.44,52.98,84.68,79,100,6.29
Turukhansk,54.54,65.82,87.98,94,99,13.04
Souillac,68.0,-20.52,57.52,88,20,5.82
Anadyr,50.0,64.75,177.48,87,75,13.42
Shingū,77.0,33.73,135.98,100,75,10.29
Dubti,87.94,11.74,41.09,40,21,13.27
Tateyama,74.03,34.98,139.87,100,90,10.29
Mizdah,65.68,31.45,12.98,74,0,4.18
Omsukchan,70.3,62.53,155.8,51,39,5.84
Thinadhoo,84.97,0.53,72.93,68,4,6.15
Jacareacanga,73.6,-6.22,-57.75,90,82,0.56
Toora-Khem,62.29,52.47,96.11,86,100,3.74
Meulaboh,84.65,4.14,96.13,63,76,2.57
Banjar,82.4,-8.19,114.97,88,20,20.8
Krasnoshchekovo,63.72,51.67,82.73,91,100,6.24
Grindavik,48.2,63.84,-22.43,93,75,9.17
Columbus,71.67,39.96,-83.0,64,20,4.7
Prince Rupert,60.8,54.32,-130.32,67,90,4.7
Shihezi,82.62,44.3,86.03,23,0,4.76
Garoowe,74.84,8.41,48.48,64,94,22.15
Santiago del Estero,49.8,-27.8,-64.26,50,0,7.0
Harar,58.91,9.31,42.13,90,68,7.87
Mana,77.58,5.66,-53.78,85,10,6.98
Tilichiki,55.49,60.47,166.1,82,89,9.53
Stillwater,80.42,36.12,-97.06,74,1,12.75
Bouna,71.08,9.27,-3.0,96,100,7.99
East Angus,68.0,45.48,-71.67,88,75,2.53
Manoel Urbano,71.73,-8.84,-69.26,94,96,1.52
Dolores,35.24,-36.31,-57.68,80,0,10.63
Puerto Colombia,82.4,10.99,-74.95,83,20,5.82
Marabba,77.14,12.35,32.18,73,0,12.57
Portland,75.56,45.52,-122.68,29,20,11.41
Amparafaravola,52.0,-17.58,48.22,95,10,1.83
Riverton,82.85,40.52,-111.94,18,1,4.74
Monrovia,75.56,6.3,-10.8,89,100,13.29
Sayyan,64.63,15.17,44.32,58,52,2.35
Fort Nelson,62.6,58.81,-122.7,77,75,10.29
Árvore,72.1,41.34,-8.72,64,84,9.17
Chu,85.77,43.6,73.76,22,65,12.93
Aykhal,75.2,66.0,111.5,38,0,11.18
Padang,81.99,-0.95,100.35,64,100,2.1
Etchojoa,90.88,26.92,-109.63,61,66,11.01
Nizhniy Odes,55.53,63.64,54.86,66,99,5.99
Nchelenge,60.33,-9.35,28.73,64,1,5.06
Tagusao,86.0,9.19,117.81,66,100,1.88
Hofn,50.38,64.25,-15.21,84,100,5.88
Houlton,66.25,46.13,-67.84,93,40,5.97
Avonbridge,51.71,55.93,-3.74,89,2,5.01
Am Timan,71.87,11.03,20.28,92,98,7.27
‘Āhuimanu,82.62,21.44,-157.84,58,40,10.29
Jiwani,83.97,25.05,61.74,74,2,8.28
Arvika,54.25,59.66,12.59,93,100,5.82
Blagoyevo,57.4,63.37,47.92,91,100,7.74
Dafeng,90.36,23.45,108.59,59,48,5.46
Kroya,83.39,-7.63,109.25,72,37,8.12
Port Shepstone,56.61,-30.74,30.45,65,0,7.38
Tighina,57.2,46.83,29.47,67,0,9.17
Naryan-Mar,50.0,67.67,53.09,73,89,4.99
Tamugan,86.0,7.23,125.38,70,40,3.36
Cervo,57.2,43.67,-7.41,88,50,5.79
Kousséri,82.4,12.08,15.03,74,20,8.05
Saint-Joseph,60.98,-21.37,55.62,68,32,4.7
Tevaitoa,79.88,-16.78,-151.5,79,85,15.46
Wilkie,55.99,52.42,-108.7,90,100,4.0
Khorramshahr,93.2,30.44,48.17,30,0,9.17
Nybro,52.43,56.74,15.91,93,30,3.36
Bathsheba,82.4,13.22,-59.52,78,20,14.99
Villacarrillo,70.92,38.12,-3.08,51,62,2.84
Tuyen Quang,91.69,21.82,105.22,61,45,2.26
Drayton Valley,60.01,53.22,-114.99,66,100,11.99
Moengo,73.15,5.62,-54.4,94,6,1.68
Iqaluit,57.09,63.75,-68.51,50,20,10.29
Cochrane,61.05,51.18,-114.47,36,20,18.34
Baley,73.04,51.6,116.63,78,68,5.32
Vrangel',65.5,42.73,133.08,74,14,7.34
Tessalit,91.58,20.2,1.01,19,0,12.06
Egvekinot,47.35,66.32,-179.17,74,96,3.4
Tazmalt,75.2,36.39,4.4,88,40,3.36
Gander,69.39,48.97,-54.59,83,75,10.29
Alyangula,77.0,-13.85,136.42,53,40,12.75
Saint Andrews,79.95,34.05,-81.13,69,40,3.36
Watsa,62.85,3.04,29.54,100,99,2.3
Quatre Cocos,68.0,-20.21,57.76,88,20,5.82
Yangi Marg`ilon,77.0,40.43,71.72,50,76,2.24
Ugento,68.63,39.93,18.16,88,5,13.87
Tolaga Bay,53.87,-38.37,178.3,90,99,6.29
Yiyang,85.51,28.59,112.33,74,100,1.95
Caravelas,69.87,-17.71,-39.25,91,0,4.99
Tsimmerbude,51.8,54.67,20.13,93,75,2.24
Maceió,71.6,-9.67,-35.74,94,75,3.36
Naifaru,83.82,5.44,73.37,73,60,7.43
Ciudad Bolivar,79.03,8.12,-63.55,80,100,8.81
Nizhniy Baskunchak,83.8,48.22,46.83,38,67,6.67
Narón,60.37,43.52,-8.15,87,61,2.24
Puerto Escondido,80.69,15.85,-97.07,77,1,2.42
Plattsburgh,66.6,44.7,-73.45,93,1,4.41
Brunsbüttel,55.44,53.9,9.15,88,63,5.82
Ust-Tsilma,59.14,65.44,52.15,60,95,4.03
Sibu,78.31,2.3,111.82,88,75,3.36
Burns Lake,62.71,54.23,-125.75,47,53,6.26
Kanashevo,71.6,55.22,62.06,64,8,4.47
Tinosu,59.0,44.82,26.02,77,1,4.7
Rumoi,71.1,43.93,141.64,70,53,4.59
Øksfjord,51.17,70.24,22.35,81,26,5.82
Fukuechō,75.2,32.69,128.84,83,75,6.93
Dryden,64.4,49.78,-92.75,82,90,13.87
Beitbridge,52.32,-22.22,30.0,42,0,11.5
Keshorai Pātan,88.84,25.3,75.93,61,80,10.65
Diffa,84.79,13.32,12.61,53,6,9.51
Aquiraz,77.0,-3.9,-38.39,83,33,3.36
Bridlington,54.63,54.08,-0.19,87,14,5.82
Qasigiannguit,44.6,68.82,-51.19,87,99,6.93
Zenzeli,80.51,45.92,47.05,63,90,15.05
Rio Grande,41.0,-32.03,-52.1,77,0,14.9
Faya,68.9,18.39,42.45,40,2,5.82
Guerrero Negro,71.31,27.98,-114.06,72,0,16.64
Mahon,68.0,39.89,4.27,88,1,5.82
Shimanovsk,95.18,52.0,127.7,29,10,4.81
Boa Vista,78.8,2.82,-60.67,83,20,1.12
Belyy Yar,68.0,53.6,91.39,77,75,6.71
El Real de Santa Maria,74.91,8.11,-77.73,93,100,1.66
Bethanien,40.33,-26.5,17.16,92,53,4.47
Evensk,56.57,61.95,159.23,86,54,9.19
Ulety,80.22,51.36,112.48,47,0,0.6
Rundu,44.13,-17.93,19.77,43,0,3.22
Emmen,54.36,52.78,6.91,93,90,4.36
The Valley,83.71,18.22,-63.06,79,40,9.17
Redcar,52.63,54.62,-1.06,83,0,3.0
Sioux Lookout,75.2,50.1,-91.92,47,90,9.17
Mucuri,71.44,-18.09,-39.55,87,4,7.38
Chesley,62.33,44.3,-81.1,89,0,2.62
Yeniseysk,76.12,58.45,92.17,51,46,3.22
Baruun-Urt,78.42,46.68,113.28,45,55,3.09
Bud,69.22,39.45,-86.18,81,0,5.3
Loandjili,69.91,-4.76,11.86,89,1,5.41
Bristol,71.17,41.83,-71.17,88,1,3.76
Katsuura,74.43,35.13,140.3,100,90,10.29
Gubkinskiy,57.78,64.43,76.5,58,46,19.91
Merauke,81.57,-8.47,140.33,77,96,13.33
Kiryat Gat,71.64,31.61,34.76,70,0,1.01
Yatou,74.34,37.15,122.38,65,76,10.4
Lerwick,51.8,60.15,-1.15,100,100,13.87
Chikwawa,58.55,-16.03,34.8,84,0,1.34
Lock Haven,66.76,41.14,-77.45,56,20,5.82
Abu Samrah,70.68,35.3,37.18,73,0,9.22
Taltal,53.83,-25.4,-70.48,74,24,1.66
Upington,37.35,-28.45,21.26,83,1,9.6
Kalmunai,84.25,7.42,81.82,68,89,8.72
Tadine,75.65,-21.55,167.88,74,100,8.5
Bireun,83.66,5.2,96.7,62,84,1.34
Maraã,72.9,-1.83,-65.37,94,71,1.66
Mt. Pleasant,77.22,32.79,-79.86,83,40,8.93
Itoman,89.42,26.12,127.67,79,40,9.17
Husavik,50.0,66.04,-17.34,93,90,2.24
Leningradskiy,41.22,69.38,178.42,80,100,11.63
Saint Anthony,80.08,45.02,-93.22,57,90,13.87
Jaisalmer,89.51,26.91,70.92,56,0,13.04
Karlovasi,75.2,37.79,26.7,53,2,17.22
Visby,49.32,57.64,18.3,100,89,2.24
Zhangaözen,88.12,43.3,52.8,23,0,12.82
Srednekolymsk,70.38,67.45,153.68,30,79,10.42
Mahanoro,64.31,-19.9,48.8,89,0,3.65
Sarakhs,78.8,36.54,61.16,41,40,3.62
Ixtapa,86.0,20.7,-105.2,74,75,8.05
Atotonilco el Alto,66.16,20.55,-102.52,72,5,1.03
Shunyi,86.65,40.12,116.65,58,0,2.24
Psebay,60.64,44.12,40.81,80,7,5.46
Nabire,85.71,-3.37,135.48,64,80,4.29
North Platte,65.53,41.12,-100.77,88,90,21.92
Cobija,73.81,-11.03,-68.77,79,2,1.74
Pangody,55.2,65.85,74.49,61,89,17.38
Chino Valley,89.19,34.76,-112.45,22,1,8.05
Beloha,57.47,-25.17,45.05,93,20,2.64
Altar,93.0,30.7,-111.82,39,18,1.01
Nikolskoye,50.04,59.7,30.79,87,0,6.71
Talara,63.84,-4.58,-81.27,86,84,16.71
Barra dos Coqueiros,75.2,-10.91,-37.04,88,40,2.24
Ahipara,62.15,-35.17,173.17,69,79,7.47
Laguna,83.28,38.42,-121.42,37,1,10.29
Marshall,74.97,34.38,-86.33,78,1,2.28
Salinópolis,78.33,-0.61,-47.36,86,33,11.34
Lorengau,84.24,-2.02,147.27,68,22,5.59
Timrå,47.07,62.49,17.33,100,10,3.36
Togur,70.63,58.36,82.83,68,23,7.74
Ada,78.6,43.42,-116.13,12,1,13.87
Grand-Santi,71.33,4.25,-54.38,93,0,2.53
Hithadhoo,84.31,-0.6,73.08,72,100,8.21
Manaure,81.97,11.78,-72.44,75,1,14.94
Mastic Beach,74.23,40.77,-72.85,83,1,8.72
Hay River,55.4,60.82,-115.8,93,90,21.92
Smithers,66.2,54.78,-127.17,39,40,6.93
Ajdabiya,72.61,30.76,20.23,64,0,9.86
Broken Hill,50.0,-31.95,141.43,76,0,9.17
Nicoya,75.02,10.15,-85.45,90,100,1.1
Hede,78.82,33.77,120.25,71,100,4.85
Mezen',53.11,65.85,44.24,80,100,7.05
San Rafael del Sur,78.8,11.85,-86.44,94,40,6.93
Lac-Mégantic,64.35,45.58,-70.88,88,75,1.92
Pierre,78.84,44.37,-100.35,69,1,5.82
Limbang,82.2,4.75,115.0,83,75,3.36
Daru,78.4,-9.08,143.21,87,89,16.75
Quelimane,57.7,-17.88,36.89,89,0,3.27
Sydney,58.41,-33.87,151.21,77,40,28.86
Bida,71.73,9.08,6.02,96,100,3.53
Nantucket,69.93,41.28,-70.1,100,90,9.17
Flin Flon,58.95,54.77,-101.86,71,85,12.73
Obo,66.06,5.4,26.49,98,91,3.24
Nishihara,89.4,26.18,127.76,79,40,9.17
Avera,78.44,33.19,-82.53,94,40,4.07
Kasongo-Lunda,67.78,-6.47,16.82,70,66,2.06
Mabay,87.8,6.06,124.47,58,20,4.7
Naze,88.72,28.37,129.48,70,75,12.75
Aloleng,85.21,16.13,119.78,64,94,3.58
Abhā,68.85,18.22,42.51,40,0,5.82
Udachny,75.2,66.42,112.4,38,7,11.18
Anchorage,67.24,61.22,-149.9,40,75,8.05
Niono,77.63,14.25,-5.99,74,99,11.36
Piaçabuçu,73.47,-10.41,-36.43,89,5,5.23
Ugoofaaru,83.98,5.67,73.0,72,20,6.64
Torbat-e Jām,85.82,35.24,60.62,17,0,11.07
Meïganga,63.93,6.52,14.3,97,100,3.13
